AMNL	Applied Minerals Inc
AMNP	American Sierra Gold
AMNZF	Ambrian Plc
AMOSF	Atomos Ltd
AMOVF	America Movil S.A.B. DE Cv
AMPG	Amplitech Group
AMPYW	Amplify Energy Corp WT Exp 05/04/2022
AMRA	American Racing Capital Inc
AMRR	American Metals Recovery & Recycling Inc
AMRU	Amaru Inc
AMRZF	Arena Minerals Inc
AMSA	American Seniors Association Holding Group Inc
AMSIY	Arcelormittal ADR
AMSLF	Australian Mines Ltd
AMSSY	Ams Ag ADR
AMSU	Amanasu Environmnt Corp
AMSYF	Arcelormittal Sa
AMTCQ	Ameritrans Capital Corp
AMTY	Amerityre Corp
AMVGF	Amvig Hldgs Ltd Ord
AMVMF	Amg Advanced Metal
AMWK	Ameristar Network Inc
AMXEF	AMEX Exploration
AMXVF	America Movil S.A.B. DE C.V.
AMYZF	American Manganese Inc
ANAS	Alternaturals Inc
ANAV	Alpha Network Alliance Ventures Inc
ANCE	Restance Inc
ANCTF	Alimentat Cou Mulvtg
ANCUF	Alimentation Couche-Tard Inc
ANDC	Andover Bancorp Inc [Oh]
ANDD	Anr Inc Contingent Rev Pmt Rt 03/31/2023
ANDI	Andiamo Corp
ANDR	Andritz Ag
ANEWF	Australia & N Z Bkg
ANFC	Black Ridge Oil & Gas Inc.
ANFGF	Antofagasta Plc Ord
ANGCF	Angel Gold Corp
ANGGF	Angang Steel CO Ltd
ANGMF	Angler Gaming Plc
ANGPY	Anglo American Platinum Ltd
ANGUF	Anglo-Canadian Mining Corp
ANGVF	Angus Ventures Inc
ANIOY	Acerinox Sa ADR
ANKOF	Ankor Gold
ANLBF	Alexander Nubia Intl
ANLDF	Anfield Energy Inc
ANMP	Anacomp Inc
ANNSF	Aena S.A.
ANPCY	Angle Plc
ANPDF	Anta Sports Products Ltd
ANPDY	Anta Sports Prod ADR
ANPFF	Anpulo Food Inc
ANSLF	Ansell Ltd
ANSLY	Ansell Ltd ADR
ANSU	Amanasu Techs Corp
ANTGF	Advantagewon Oil Corp
ANTH	Anthera Pharmaceutic
ANTI	Antigenics Inc
ANVV	Anvia Holdings Corp
ANXGF	Anaconda Mining Inc
ANZBY	Australia and New Zealand Bank
ANZFF	Air New Zealand Ord
ANZLY	Air New Zealand Ltd ADR
AOBI	American Oriental Bioengineering Inc
AOCIF	Autocanada Inc
AOGC	Australian Oil & Gas
AOIFF	Africa Oil Corp
AOLS	Aeolus Pharmaceuticl
AOMFF	Alstom Shs Prov Regr
AOMOY	Ao Mosenergo ADR
AONCF	Advanced Oncotherapy Plc
AONNY	Aeon CO Ltd ADR
AOREF	American Overseas Group Ltd
AOTUF	Precinct Properties New Zealand Ltd
AOTVF	Ascot Resources Ltd
AOVTF	Andover Mining Corp
AOXG	Aoxing Pharmaceutical Company Inc
AOXY	Advanced Oxygen Tech
AOZOY	Aozora Bank ADR
APAAF	Appia Energy Corp
APAFF	Apella Resources Inc
APAJF	Apa Group
APCDF	A Cap Resources Ltd
APCOD	New Tech Minerals Corp.
APCOF	American Potash Corp
APCX	Apptech Corp
APELY	Alps Electric Ltd Ad
APEMY	Aperam
APEOF	Americas Petrogas Inc
APEUF	Atlas Engineered Products Ltd
APGI	American Power Group Corp
APGMF	Applied Graphene Mat
APGOF	Apollo Gold Corp
APHE	Alpha Energy
APHTF	Alphinat
APLD	Applied Science Prod
APLIF	Appili Therapeutics Inc
APLN	Ae Holding I
APLO	Apollo Bancorp Inc
APLVF	Ap Alternative Units
APMCF	Morien Resources
APMFF	Eagle Graphite Inc
APNHY	Aspen Pharmacare
APPB	Applied Biosciences Corp
APPCF	Apac Resources Ltd
APPDW	Applied Dna Sciences Inc WT
APPEF	Appen Ltd
APPZ	Monster Arts Inc
APQT	Appliqate Inc
APRAF	Goldstrike Resources
APRCP	Alabama Pwr 4.52 Pfd
APRDM	Alabama Pwr 4.92 Pd
APRDN	Alabama Pwr 4.20 Pd
APRDO	Alabama Power CO 4.64% Pfd
APRDP	Alabama Power CO 4.72% Pfd
APRO	Allegiant Professnl B/S
APRRF	Atlantic Power Preferred Equity Ltd
APRU	Apple Rush Company Inc
APRWF	Atlantic Pwr Pfd Equ
APSI	Aqua Power Systems
APTCF	Advanced Proteome Therapeutics Corp
APTEF	Apteryx Imaging Inc
APTL	Alaska Pwr & Tel CO
APTPF	Airports of Thailand Public CO Ltd
APTY	Apt Systems
APVS	Guardian Tech Intl
APVTW	Aptevo Therapeutics Inc
APWL	Advanced Pwrln Techs Inc
APYP	Appyea Inc
APYRF	Allied Pptys R E Inv
AQARF	Aquila Resources Inc
AQFH	Aquesta Financial
AQSP	Acquired Sales Corp
AQSZF	Aequus Pharmaceuticals Inc
AQUI	Aquagold Intl Inc
ARAFF	Arafura Resources NL
ARAO	Aurasource Inc
ARAT	Arax Holdings Corp
ARBTF	Argo Gold Inc
ARBV	American Riviera Bnk
ARCAY	Arcadis NV NY Reg #
ARCS	Arcis Resources Corp
ARCUF	Arcus Development Grp Inc
ARCVF	Arcadis NV
ARCW	Arc Group Worldwide
ARCXF	Arcelormittal South Africa
AREB	American Rebel Holdings Inc
ARECW	American Resources Corp WT
AREM	American Rare Earths
ARESF	Artis Real Est IN TR
ARET	Arete Industries Inc
AREVF	Arev Nanotec Brands Inc.
AREXQ	Approach Res. Inc
ARFXF	Amorfix Life Science
ARGGY	Aston Martin Lagonda Global Holdings Plc ADR
ARGKF	Aggreko Plc
ARGL	Argyle Security Inc
ARGQ	Argentum 47 Inc
ARGTF	Artemis Gold Inc
ARGW	Argus Worldwide Group
ARHCF	Alfresa Holdings Corp
ARHH	Assure Holdings Corp
ARHN	Archon Corp
ARHOF	Amrest Hldgs Se
ARHTF	Arht Media Inc
ARHVF	Archer Ltd
ARIZF	Acme Resources Inc
ARKAF	Arkema S.A.
ARKAY	Arkema ADR
ARKTF	Premier Veterinary Group Plc
ARLUF	Aristocrat Leisure L
ARMC	Asiarim Corp
ARMZF	Aura Minerals Inc
ARNGF	Argonaut Gold Ltd
ARNI	Arno Therapeutics
AROSF	Aurora Spine
ARPC	Arem Pacific Corp
ARREF	Amerigo Resources
ARRJF	Arjo Ab Cl B
ARRPY	Aeroports DE Paris Sa ADR
ARRRF	Ardea Resources Ltd
ARRXF	Archer Materials Ltd
ARSC	American Securty Res
ARSEF	Altai Resources Inc
ARSLF	Altima Resources Ltd
ARSMF	Ares Strategic Mining Inc
ARSN	Aureus Inc
ARSSF	Assura Plc
ARST	Arista Financial Corp
ARTH	Arch Therapeutics Inc
ARTM	American Nortel Comm
ARTNB	Artesian Resources Corp Cl B
ARTR	Airtrona International Inc
ARTTF	Artemis Resources Ltd
ARUXF	Acrux Ltd Ord
ARVY	Alliance Recovery
ARWD	Arrow Resources Dev
ARWGF	Arrow Global Group Plc
ARXRF	Alix Res Corp
ARYC	Arrayit Corp
ARYMF	Argosy Minerl UT Cda
ARYX	Aryx Therapeutics
ARZGF	Assicurazioni Genera
ARZGY	Assicurazioni Genera
ARZTY	Aryzta Ag ADR
ASAGF	Australian Agricultu
ASAZF	Assa Abloy Ser B SEK
ASAZY	Assa Abloy Ab
ASBFF	Associated British F
ASBFY	Associated Brit Food
ASBRF	Asahi Breweries
ASCC	Aristocrat Group
ASCCF	Asics Corp
ASCCY	Asics Corp
ASCJF	American Shipping CO
ASCK	Auscrete Corp
ASCLF	Ascletis Pharma Inc
ASCN	Absecon Bancorp
ASDN	Astro Aerospace Ltd
ASDRF	Ascendant Resources Inc
ASDZF	Arctic Star Exploration Corp
ASEJF	Apt Satellite Hlds
ASEKF	Aisin Seiki CO Ltd
ASEKY	Aisin Seiko CO Ltd
ASFX	American Scientf
ASFZ	Assoc First Cap Corp
ASGLF	Agc Inc
ASGLY	Asahi Glass CO Ltd A
ASGOF	Asante Gold Corp
ASGTF	Altus Group Ltd
ASGXF	Asia Global Crossing Ltd
ASHTF	Ashted Group Plc
ASHTY	Ashtead Group Pl ADR
ASHXF	Ashburton Ventures Inc
ASIN	As Capital Inc
ASKDF	First Energy Metals Ltd
ASKE	Alaska Pacific Energy Corp
ASKH	Astika Holdings
ASLEF	Asaleo Care Ltd
ASLM	American Silver Mini
ASLRF	Arian Silver Copr
ASMIY	Asm International NV
ASMLF	Asml Hld NV Ord Shs
ASMVF	Asm Pacific Technology Ltd
ASMVY	Asm Pacific Technology Ltd
ASNAQ	Ascena Retail Group
ASNB	Advansource Biomaterials Corpora
ASNHF	Avidus Management Group Inc
ASNT	Arias Intel Corp
ASOMF	Asos Plc
ASOMY	Asos Pls ADR
ASOZF	Asseco Poland Sa
ASOZY	Asseco Poland Sa ADR
ASPCF	Acerus Pharmaceuticals Corp
ASPD	Aspen Digital Inc
ASPT	Haber Inc
ASPW	Arista Power Inc
ASPXF	Aspire Mining Ltd
ASPZ	Asia Pptys Inc
ASRAF	A S Roma Spa Roma
ASRMF	Southeast Airport Group
ASTI	Ascent Solar Technologies
ASTO	Astro Communications Inc
ASWRF	Gungnir Resources Inc
ASXFF	ASX Ltd
ASXFY	ASX Ltd
ASXSF	Alberta Star Dev
ASZP	Jv Group Inc
ATADF	Atac Res Ltd
ATAR	Avatar Ventures Corp
ATASF	Atlantia Spa Ord
ATASY	Atlantia Spa ADR
ATBHF	Aston Bay Hlds Ltd
ATBPF	Antibe Therapeutics
ATBYF	Abitibi Royalties IN
ATCMF	Atico Mining
ATCN	Atec Inc
ATCV	Cycle Country Accessories Corp
ATDRF	Auto Trader Group Plc
ATDRY	Auto Trader Group Plc
ATDS	Data443 Risk Mitigation Inc.
ATEYY	Advantest Corp
ATGFF	Altagas Ltd
ATGN	Altigen Communications Inc
ATGSF	Autogrill Spa Itl
ATGSY	Autogrill S.P.A. ADR
ATGVF	Active Energy Group Plc
ATHC	Accelerated Technologies Holding Corp
ATHJF	Antisense Therapeutics
ATHOF	Athabasca Oil Sands Corp
ATIG	Atlantis Internet Grp Cp
ATIN	Ati Nationwide Holding Corp
ATIXF	Analytixinsight Inc
ATLCY	Atlas Copco Ab Ser B
ATLDF	Atlanta Gold Inc
ATLKF	Atlas Copco Ab Ser A
ATLKY	Atlas Copco Ab Ser A
ATLS	Atlas Energy Llc
ATLT	Atlas Technology International Inc
ATMS	Artemis Therapeutics Inc
ATNNF	Autoneum Holding Ag
ATNP	Atlantis Technology Group
ATNWW	Actinium Pharmaceuticals Inc WT Ser B Exp 09/03/
ATONF	Anton Oilfield Svcs Grp
ATONY	Anton Oilfield Services Group
ATOWW	Atossa Genetics Inc WT [24/05/2021]
ATOXF	Durango Resources Inc
ATPL	Atlantis Plastics Inc
ATPT	All State Properties Holdings Inc
ATPWF	Atlantic Power Preferred Equity Ltd Cum Pfd Ser
ATRBF	Atrium European Re
ATROB	Astronics Corp
ATRRF	Altarea [Paris]
ATRX	Adhera Therapeutics Inc
ATSAF	Ats Automated Toolin
ATTBF	Abattis Bioceuticals
ATTLF	Atlas Copco Ab
ATUMF	Altum Resource Corp
ATURF	Atom Energy
ATUSF	Altius Minerals Corp
ATUUF	Altura Energy Inc
ATVDY	Atresmedia Corporacion DE Medios Sa ADR
ATVK	Atvrockn
ATVVF	Australian Vanadium Ltd
ATVXF	Activia Properties
ATWT	Atwec Tech Inc
ATYG	Atlas Tech Group Inc
ATZAF	Aritzia
AUCOY	Polymetal Intl Plc
AUDVF	Audi Ag Vormals Audi
AUHEF	Anhui Expressway CO Ltd
AUIAF	Aurania Resources
AUKNY	Auckland International Airport Ltd
AUKUF	Ams Ag
AULGF	Anglogold Ashanti Ltd
AUMC	Auryn Mining Corporation
AUMTF	Aurelia Metals Ltd
